AÑO,ENTIDAD,Clave_Entidad,SEXO,POBLACION,EDAD_PROMEDIO
1973,San Luis Potosí,SLP,Hombres,747253,21.62486601
1973,San Luis Potosí,SLP,Total,1478751,21.75313961
1973,San Luis Potosí,SLP,Mujeres,731498,21.88141321
1973,Sinaloa,SLOA,Hombres,757742,21.45048051
1973,Sinaloa,SLOA,Mujeres,726397,21.45616791
1973,Sinaloa,SLOA,Total,1484139,21.45332421
1973,Sonora,SON,Hombres,642300,22.06828429
1973,Sonora,SON,Mujeres,629700,21.86357948
1973,Sonora,SON,Total,1272000,21.96593189
1973,Tabasco,TAB,Hombres,452639,20.46562713
1973,Tabasco,TAB,Mujeres,437827,20.00343515
1973,Tabasco,TAB,Total,890466,20.23453114
1973,Tamaulipas,TAM,Hombres,828786,22.37617189
1973,Tamaulipas,TAM,Total,1659731,22.42188542
1973,Tamaulipas,TAM,Mujeres,830945,22.46759894
1973,Tlaxcala,TLAX,Hombres,245039,22.10590151
1973,Tlaxcala,TLAX,Mujeres,238175,22.58862181
1973,Tlaxcala,TLAX,Total,483214,22.34726166
1973,Veracruz,VER,Total,4495207,21.80931454
1973,Veracruz,VER,Hombres,2264979,21.55184353
1973,Veracruz,VER,Mujeres,2230228,22.06678555
1973,Yucatán,YUC,Total,897745,23.40136932
1973,Yucatán,YUC,Mujeres,447072,23.32980594
1973,Yucatán,YUC,Hombres,450673,23.4729327
1973,Zacatecas,ZAC,Total,1055898,21.05253859
1973,Zacatecas,ZAC,Hombres,528936,20.97989927
1973,Zacatecas,ZAC,Mujeres,526962,21.12517791
1974,Aguascalientes,AG,Hombres,210274,21.01993589
1974,Aguascalientes,AG,Mujeres,213689,21.94732064
1974,Aguascalientes,AG,Total,423963,21.48362827
1974,Baja California,BC,Hombres,512774,21.69485972
1974,Baja California,BC,Mujeres,514392,21.83555537
1974,Baja California,BC,Total,1027166,21.76520755
1974,Baja California Sur,BCS,Hombres,84737,21.8907207
1974,Baja California Sur,BCS,Total,165056,21.77915435
1974,Baja California Sur,BCS,Mujeres,80319,21.66758799
1974,Campeche,CAMP,Mujeres,163320,21.31940975
1974,Campeche,CAMP,Hombres,166495,21.88025466
1974,Campeche,CAMP,Total,329815,21.59983221
1974,Chiapas,CHIA,Hombres,960184,20.41631187
1974,Chiapas,CHIA,Total,1888201,20.28801439
1974,Chiapas,CHIA,Mujeres,928017,20.1597169
1974,Chihuahua,CH,Hombres,926895,21.86631495
1974,Chihuahua,CH,Total,1843939,22.06609494
1974,Chihuahua,CH,Mujeres,917044,22.26587492
1974,Ciudad de México,CDMX,Mujeres,4134202,23.8434242
1974,Ciudad de México,CDMX,Hombres,3888776,22.00310586
1974,Ciudad de México,CDMX,Total,8022978,22.92326503
1974,Coahuila,COH,Hombres,671505,21.92596183
1974,Coahuila,COH,Mujeres,659708,22.32446779
1974,Coahuila,COH,Total,1331213,22.12521481
1974,Colima,COL,Hombres,147415,21.49964386
1974,Colima,COL,Mujeres,145389,21.94183879
1974,Colima,COL,Total,292804,21.72074133
1974,Durango,DGO,Total,1078555,21.31996238
1974,Durango,DGO,Hombres,547554,21.23574661
1974,Durango,DGO,Mujeres,531001,21.40417815
1974,Guanajuato,GJ,Hombres,1342395,21.09832352
1974,Guanajuato,GJ,Mujeres,1335053,21.66896595
1974,Guanajuato,GJ,Total,2677448,21.38364473
1974,Guerrero,GUE,Total,1917946,20.93450886
1974,Guerrero,GUE,Mujeres,956209,21.14028418
1974,Guerrero,GUE,Hombres,961737,20.72873353
1974,Hidalgo,HDGO,Hombres,706977,21.47061927
1974,Hidalgo,HDGO,Mujeres,694753,22.00384309
1974,Hidalgo,HDGO,Total,1401730,21.73723118
1974,Jalisco,JAL,Total,3915834,21.86727973
1974,Jalisco,JAL,Hombres,1938857,21.36013022
